"","doc_id","sentence","token","upos","Entity","friends_count","country","NewsChannel"
"31715","doc4232","m determined happy ever situation may find <U+393C><U+3E32>ve realised greater part misery determined disposition","determined","VERB","Personality",2858,NA,"FOX"
"31716","doc4232","m determined happy ever situation may find <U+393C><U+3E32>ve realised greater part misery determined disposition","happy","ADJ","Personality",2858,NA,"FOX"
"31727","doc4232","m determined happy ever situation may find <U+393C><U+3E32>ve realised greater part misery determined disposition","determined","ADJ","Personality",2858,NA,"FOX"
"31754","doc4235","easyufuffd chilledufcuffd humbleuffuffd laid back ufaf bar<U+653C><U+3E37>a fan fcb ufeauff gamer ufae apple fanatic uff","apple","VERB","Organization",714,NA,"FOX"
"31786","doc4239","father javascript enthusiast love react nodejs web development tweets opinions currently tech lead senior engineer culturetrip","web","NOUN","Profession",1130,NA,"FOX"
"31787","doc4239","father javascript enthusiast love react nodejs web development tweets opinions currently tech lead senior engineer culturetrip","development","NOUN","Profession",1130,NA,"FOX"
"31794","doc4239","father javascript enthusiast love react nodejs web development tweets opinions currently tech lead senior engineer culturetrip","engineer","NOUN","Profession",1130,NA,"FOX"
"31824","doc4240","stand maslf nd ma beliefs stand doz luv speak ma mind think ma thoughts ma thins ma way proud b muslim","proud","ADJ","Personality",269,NA,"FOX"
"31828","doc4241","im student microbiologyufc lover musicuf","student","NOUN","Profession",675,NA,"FOX"
"31867","doc4245","pr pro ulalaunch runner musician yogini aspiring cyclist proud wife auntie skirt sports ambassador views","musician","NOUN","Profession",1169,NA,"FOX"
"31871","doc4245","pr pro ulalaunch runner musician yogini aspiring cyclist proud wife auntie skirt sports ambassador views","proud","ADJ","Personality",1169,NA,"FOX"
"31875","doc4245","pr pro ulalaunch runner musician yogini aspiring cyclist proud wife auntie skirt sports ambassador views","sports","NOUN","Hobbies",1169,NA,"FOX"
"31881","doc4246","ufholographic wisdomufeluvuftaoufufef consciousnessufanucleosynthesisufgeologyufenonnewtonianufhuman energy fieldufreikiuenatureufbmusicufbjoyuufefpeaceufaaltruismufharmony","energy","NOUN","Profession",2728,NA,"FOX"
"31888","doc4248","helping people achive fitness goals","fitness","NOUN","Profession",680,NA,"FOX"
"31901","doc425","christian husband father gym rat bro impressionist ish twitch affiliate lets gooooo get gains followers subs sick pumps oldmancrew","christian","ADJ","Religion",810,NA,"FOX"
"31925","doc4252","good listener leader follower","good","ADJ","Personality",285,NA,"FOX"
