"","doc_id","sentence","token","upos","Entity","friends_count","country","NewsChannel"
"4145","doc1484","legal business affairs media rights production executive proud citizen","media","NOUN","Profession",345,NA,"FOX"
"4146","doc1484","legal business affairs media rights production executive proud citizen","executive","ADJ","Profession",345,NA,"FOX"
"4147","doc1484","legal business affairs media rights production executive proud citizen","proud","ADJ","Personality",345,NA,"FOX"
"4148","doc1485","tattooed pierced christ following surfer dad hubby adventurespin","christ","NOUN","Religion",253,NA,"FOX"
"4149","doc1486","cofounder cioat fincnecta building platform integrate visionary fis industry transforming fintechs finconecta finconecta","building","NOUN","Profession",506,NA,"FOX"
"4150","doc1487","licensed ill liberal af","licensed","VERB","Profession",793,NA,"FOX"
"4151","doc1489","im italian enough married lover god runner gymrat beach bum little bit jerk","married","ADJ","Personality",350,NA,"FOX"
"4152","doc1489","im italian enough married lover god runner gymrat beach bum little bit jerk","beach","NOUN","Hobbies",350,NA,"FOX"
"4153","doc149","yr vet usmc army nat guard uofo goducks lots beer long ago even im dead ill stand flag told wife burymeupright","army","NOUN","Profession",791,NA,"FOX"
"4154","doc1491","army force detective sniper investigatorcurrent afghanistan situation ufdsingle ufd","army","NOUN","Profession",1392,NA,"FOX"
"4155","doc1492","current nyc intellectual property attorney former kentuckytrack osulaw ac train","intellectual","ADJ","Personality",784,NA,"FOX"
"4156","doc1492","current nyc intellectual property attorney former kentuckytrack osulaw ac train","attorney","NOUN","Profession",784,NA,"FOX"
"4157","doc1493","church planter fort kent maine lover theology timhortons hiking snowshoeing fountain pens puritans","church","NOUN","Religion",264,NA,"FOX"
"4158","doc1493","church planter fort kent maine lover theology timhortons hiking snowshoeing fountain pens puritans","hiking","VERB","Hobbies",264,NA,"FOX"
"4159","doc1494","proud american love work family im man simple heart earth","proud","ADJ","Personality",370,NA,"FOX"
"4160","doc1495","love life life will love back christian jesus savior animal lover psalm trump maga deplorable ufuffauff ufaufefudufefufeufewibadgersfan","christian","X","Religion",4383,NA,"FOX"
"4161","doc1495","love life life will love back christian jesus savior animal lover psalm trump maga deplorable ufuffauff ufaufefudufefufeufewibadgersfan","jesus","X","Religion",4383,NA,"FOX"
"4162","doc1497","usmc truck driver married love church come house uninvited might get lead poisoning simple","married","ADJ","Personality",473,NA,"FOX"
"4163","doc1497","usmc truck driver married love church come house uninvited might get lead poisoning simple","church","NOUN","Religion",473,NA,"FOX"
"4164","doc1501","patricia cornwell sue grafton kinky friedman tom robbins mario puzo many morei love good mystery seeing concerts symphoniesufeufe trump train","good","ADJ","Personality",854,NA,"FOX"
"4165","doc1503","criminologist security practitioner peace studies conflict resolution scholar educationist tropical health disease control scholar development scholar","security","NOUN","Profession",366,NA,"FOX"
"4166","doc1503","criminologist security practitioner peace studies conflict resolution scholar educationist tropical health disease control scholar development scholar","practitioner","NOUN","Profession",366,NA,"FOX"
"4167","doc1503","criminologist security practitioner peace studies conflict resolution scholar educationist tropical health disease control scholar development scholar","development","NOUN","Profession",366,NA,"FOX"
"4168","doc1505","norwegian born christian father two amazing boys single dad looking partner hmmjust think can two things time","christian","ADJ","Religion",448,NA,"FOX"
"4169","doc1506","hate injustices long better world future generations can proud","proud","VERB","Personality",581,NA,"FOX"
"4170","doc1507","clown ufcf magician ufa musician ufb balloonartist uf facepainter ufuf entertainer ufad escapeartist uf patriot ud","musician","X","Profession",1727,NA,"FOX"
"4171","doc1507","clown ufcf magician ufa musician ufb balloonartist uf facepainter ufuf entertainer ufad escapeartist uf patriot ud","patriot","NOUN","Personality",1727,NA,"FOX"
"4172","doc1511","author satirist realist optimistic pessimist buy books httpstcoprlzwriec","author","NOUN","Profession",527,NA,"FOX"
"4173","doc1511","author satirist realist optimistic pessimist buy books httpstcoprlzwriec","optimistic","ADJ","Personality",527,NA,"FOX"
"4174","doc1513","associate superintendent technology innovation change agent igniting future ready learning opportunities","technology","NOUN","Profession",752,NA,"FOX"
"4175","doc1513","associate superintendent technology innovation change agent igniting future ready learning opportunities","agent","NOUN","Profession",752,NA,"FOX"
"4176","doc1513","associate superintendent technology innovation change agent igniting future ready learning opportunities","learning","NOUN","Profession",752,NA,"FOX"
"4177","doc1516","founder quurve shoes ke graduate journalist diverse interests","journalist","NOUN","Profession",561,NA,"FOX"
"4178","doc152","try sing artist musician","artist","NOUN","Profession",330,NA,"FOX"
"4179","doc152","try sing artist musician","musician","NOUN","Profession",330,NA,"FOX"
"4180","doc1523","entrepreneur business owner uf ufc skill development trainer","entrepreneur","PRON","Profession",1898,NA,"FOX"
"4181","doc1523","entrepreneur business owner uf ufc skill development trainer","business","NOUN","Profession",1898,NA,"FOX"
"4182","doc1523","entrepreneur business owner uf ufc skill development trainer","development","NOUN","Profession",1898,NA,"FOX"
"4183","doc1528","mechanical engineer","mechanical","ADJ","Profession",598,NA,"FOX"
