"","doc_id","sentence","token","upos","Entity","friends_count","country","NewsChannel"
"1226","doc1134","trs marketing solutions fullscale social media management company optimizing social media pages attract attention contact us info","media","NOUN","Profession",457,NA,"CNN"
"1227","doc1134","trs marketing solutions fullscale social media management company optimizing social media pages attract attention contact us info","management","NOUN","Profession",457,NA,"CNN"
"1228","doc1134","trs marketing solutions fullscale social media management company optimizing social media pages attract attention contact us info","company","NOUN","Profession",457,NA,"CNN"
"1230","doc1134","trs marketing solutions fullscale social media management company optimizing social media pages attract attention contact us info","social","ADJ","Profession",457,NA,"CNN"
"1231","doc1134","trs marketing solutions fullscale social media management company optimizing social media pages attract attention contact us info","media","NOUN","Profession",457,NA,"CNN"
"1245","doc1135","ufi electrician plays like pro come chill support thanks famuf","support","NOUN","Profession",735,NA,"CNN"
"1252","doc1136","perfect expression artistry nationz artist speak nations","artist","NOUN","Profession",321,NA,"CNN"
"1272","doc114","mom anglophile college graduate free spirit love volunteering german stuff","college","NOUN","Profession",877,NA,"CNN"
"1288","doc1141","much tv fond things food charleston raised romans","food","NOUN","Profession",824,NA,"CNN"
"1298","doc1143","medical oncologist geoffrey beene chair director kravis center molecular oncology memorial sloan kettering cancer center cancer genetics","medical","ADJ","Profession",464,NA,"CNN"
"1303","doc1143","medical oncologist geoffrey beene chair director kravis center molecular oncology memorial sloan kettering cancer center cancer genetics","director","NOUN","Profession",464,NA,"CNN"
"1306","doc1143","medical oncologist geoffrey beene chair director kravis center molecular oncology memorial sloan kettering cancer center cancer genetics","molecular","X","Profession",464,NA,"CNN"
"1333","doc1147","bugsplat crash reporting quickly easily provides delivers critical data users live crashes find fix move onto next thing","critical","ADJ","Personality",1096,NA,"CNN"
"1334","doc1147","bugsplat crash reporting quickly easily provides delivers critical data users live crashes find fix move onto next thing","data","NOUN","Profession",1096,NA,"CNN"
"1342","doc1147","bugsplat crash reporting quickly easily provides delivers critical data users live crashes find fix move onto next thing","next","ADJ","Organization",1096,NA,"CNN"
"1354","doc115","marketing manager","marketing","NOUN","Profession",1933,NA,"CNN"
"1355","doc115","marketing manager","manager","NOUN","Profession",1933,NA,"CNN"
"1369","doc1151","christian rapper author anthony chobot expertise guy pop culture today co writer actor anthony chobot saga troma superhero","christian","ADJ","Religion",1041,NA,"CNN"
"1371","doc1151","christian rapper author anthony chobot expertise guy pop culture today co writer actor anthony chobot saga troma superhero","author","NOUN","Profession",1041,NA,"CNN"
"1380","doc1151","christian rapper author anthony chobot expertise guy pop culture today co writer actor anthony chobot saga troma superhero","writer","NOUN","Profession",1041,NA,"CNN"
"1393","doc1152","god first baddest radio host tv presenter round media personality im one big festival bookings thabomaholelagmailcom","presenter","NOUN","Profession",928,NA,"CNN"
"1395","doc1152","god first baddest radio host tv presenter round media personality im one big festival bookings thabomaholelagmailcom","media","NOUN","Profession",928,NA,"CNN"
"1410","doc1154","soonersxthunderxdodgers die hard reel dodgers okc sports women jorts","sports","NOUN","Hobbies",318,NA,"CNN"
"1416","doc1156","husband teacher union member advocate gamer writer comic relief uk class <U+393C><U+3E31>","teacher","NOUN","Profession",554,NA,"CNN"
"1419","doc1156","husband teacher union member advocate gamer writer comic relief uk class <U+393C><U+3E31>","advocate","NOUN","Profession",554,NA,"CNN"
"1421","doc1156","husband teacher union member advocate gamer writer comic relief uk class <U+393C><U+3E31>","writer","NOUN","Profession",554,NA,"CNN"
"1433","doc1157","news local news world news sports music international music local music government local government politics international politics","local","ADJ","Profession",269,NA,"CNN"
"1437","doc1157","news local news world news sports music international music local music government local government politics international politics","sports","NOUN","Hobbies",269,NA,"CNN"
"1438","doc1157","news local news world news sports music international music local music government local government politics international politics","music","NOUN","Hobbies",269,NA,"CNN"
"1440","doc1157","news local news world news sports music international music local music government local government politics international politics","music","NOUN","Hobbies",269,NA,"CNN"
"1441","doc1157","news local news world news sports music international music local music government local government politics international politics","local","ADJ","Profession",269,NA,"CNN"
